Count,Pixel_2,Pixel_2,Value_1,Value_2,Value_3,Survived,Pclass,Empty
1,200,300,31,27,46,0,3,1
2,200,300,31,27,46,1,1,1
3,200,300,17,32,53,1,3,1
4,200,300,16,31,52,1,1,1
,200,300,31,29,43,1,3,1
6,200,300,43,42,59,1,3,1
7,200,300,43,80,92,1,1,1
,200,300,43,80,92,0,3,1
9,200,300,37,73,88,0,3,1
10,200,300,36,72,87,1,2,1
11,200,300,140,172,185,1,3,1
12,200,300,35,64,78,1,1,1
13,200,300,40,67,81,1,3,1
14,200,300,40,67,81,0,1,1
15,200,300,54,85,101,1,3,1
16,200,300,44,71,85,1,1,1
17,200,300,182,211,220,1,3,1
18,200,300,49,76,85,1,3,1
19,200,300,148,171,177,1,1,1
20,200,300,46,69,75,0,3,1
21,200,300,40,64,61,1,3,1
22,200,300,153,177,174,0,2,1
23,200,300,51,69,62,0,3,1
24,200,300,153,171,164,1,1,1
25,200,300,59,85,75,1,3,1
26,200,300,168,193,185,1,1,1
27,200,300,63,88,75,0,3,1
28,200,300,189,211,201,1,1,1
29,200,300,70,94,84,1,3,1
30,200,300,185,209,199,1,3,1
31,200,300,64,92,83,1,1,1
32,200,300,169,196,183,1,3,1
33,200,300,69,101,87,1,3,1
34,200,300,190,217,204,0,2,1
35,200,300,67,105,88,0,3,1
36,200,300,193,226,210,1,1,1
37,200,300,82,119,104,1,3,1
38,200,300,184,222,210,1,1,1
39,200,300,71,110,95,1,3,1
40,200,300,199,238,223,0,1,1
41,200,300,92,130,111,1,3,1
42,200,300,175,215,198,1,3,1
43,200,300,86,127,105,1,1,1
44,200,300,203,244,222,1,3,1
45,200,300,84,120,103,1,3,1
46,200,300,183,223,206,0,2,1
47,200,300,74,117,99,1,3,1
48,200,300,131,169,152,0,1,1
49,200,300,172,210,193,0,3,1
50,200,300,80,118,101,1,1,1
51,200,300,179,217,200,1,3,1
52,200,300,179,217,200,1,1,1
53,200,300,35,33,47,0,3,1
54,200,300,39,34,48,1,3,1
55,200,300,38,33,47,1,1,1
56,200,300,36,31,45,1,3,1
57,200,300,120,68,64,1,3,1
58,200,300,120,68,64,1,2,1
59,200,300,89,161,195,1,3,1
60,200,300,88,159,196,0,1,1
61,200,300,22,5,129,0,3,1
62,200,300,22,5,129,1,1,1
63,200,300,24,7,131,1,3,1
64,200,300,24,7,131,1,1,1
65,200,300,29,13,134,1,3,1
66,200,300,34,20,136,0,3,1
67,200,300,37,25,135,1,1,1
68,200,300,45,26,143,1,3,1
69,200,300,55,41,144,1,3,1
70,200,300,54,37,142,1,2,1
71,200,300,62,50,141,1,3,1
72,200,300,62,50,141,0,1,1
73,200,300,70,63,139,1,3,1
74,200,300,12,6,78,0,1,1
75,200,300,82,80,133,0,3,1
76,200,300,82,80,133,1,1,1
77,200,300,101,104,122,1,3,1
78,200,300,101,104,122,1,3,1
79,200,300,101,104,122,0,1,1
80,200,300,101,104,122,1,3,1
81,200,300,101,104,122,1,3,1
82,200,300,101,104,122,1,2,1
83,200,300,101,104,122,1,3,1
84,200,300,101,104,122,1,1,1
85,200,300,101,104,122,1,3,1
86,200,300,101,104,122,0,1,1
87,200,300,101,104,122,0,3,1
88,200,300,101,104,122,1,1,1
89,200,300,101,104,122,1,3,1
90,200,300,101,104,122,1,3,1
91,200,300,101,104,122,1,1,1
92,200,300,101,104,122,0,3,1
93,200,300,101,104,122,1,3,1
94,200,300,101,104,122,1,2,1
95,200,300,101,104,122,1,3,1
96,200,300,101,104,122,1,1,1
97,200,300,101,104,122,1,3,1
98,200,300,101,104,122,0,1,1
99,200,300,101,104,122,1,3,1
100,200,300,101,104,122,0,1,1
101,200,300,101,104,122,0,3,1
102,200,300,101,104,122,1,3,1
103,200,300,101,104,122,1,1,1
104,200,300,101,104,122,1,3,1
105,200,300,101,104,122,1,3,1
106,200,300,101,104,122,1,2,1
107,200,300,101,104,122,1,3,1
108,200,300,101,104,122,1,1,1
109,200,300,101,104,122,1,3,1
110,200,300,101,104,122,1,1,1
111,200,300,105,109,118,1,3,1
112,200,300,122,72,51,1,1,1
113,200,300,122,72,51,1,3,1
114,200,300,36,0,228,1,3,1
115,200,300,42,0,234,1,1,1
116,200,300,37,0,233,1,3,1
117,200,300,36,0,231,1,3,1
118,200,300,33,0,228,1,2,1
119,200,300,88,158,192,1,3,1
120,200,300,90,160,194,1,1,1
121,200,300,90,160,194,1,3,1
122,200,300,81,150,180,1,1,1
123,200,300,25,17,17,1,3,1
124,200,300,143,135,135,1,1,1
125,200,300,41,31,33,1,3,1
126,200,300,29,21,21,1,3,1
127,200,300,41,31,33,1,1,1
128,200,300,39,29,31,1,3,1
129,200,300,30,22,24,0,3,1
130,200,300,38,33,34,1,2,1
131,200,300,31,26,27,1,3,1
132,200,300,40,32,34,1,1,1
133,200,300,43,38,39,1,3,1
134,200,300,42,39,40,1,1,1
135,200,300,42,39,40,1,3,1
136,200,300,45,48,53,0,1,1
137,200,300,41,43,45,0,3,1
138,200,300,39,48,49,1,3,1
139,200,300,39,48,49,1,1,1
